1,4
2,7
3,18
4,16
5,14
6,16
7,7
8,13
9,10
10,2
11,3
12,8
13,11
14,20
15,4
16,7
17,1
18,7
19,13
20,17
21,12
22,9
23,8
24,10
25,3
26,11
27,3
28,4
29,8
30,16
31,10
32,3
33,3
34,19
35,10
36,8
37,14
38,17
39,12
40,3
41,10
42,14
43,2
44,20
45,5
46,18
47,19
48,5
49,16
50,11
51,14
52,7
53,12
54,1
55,17
56,14
57,3
58,11
59,17
60,2
61,6
62,6
63,5
64,8
65,17
66,6
67,7
68,10
69,14
70,18
71,5
72,16
73,3
74,6
75,15
76,8
77,15
78,5
79,4
80,11
81,8
82,9
83,17
84,19
85,9
86,5
87,4
88,12
89,15
90,20
91,13
92,1
93,17
94,9
95,20
96,13
97,7
98,7
99,15
100,20
101,16
102,11
103,15
104,19
105,8
106,2
107,18
108,3
109,18
110,13
111,13
112,17
113,2
114,1
115,7
116,2
117,6
118,10
119,5
120,20
121,1
122,10
123,12
124,18
125,18
126,12
127,2
128,16
129,10
130,8
131,8
132,17
133,18
134,14
135,7
136,6
137,7
138,4
139,20
140,5
141,9
142,12
143,13
144,10
145,4
146,20
147,11
148,9
149,9
150,16
151,1
152,10
153,17
154,4
155,19
156,6
157,7
158,12
159,2
160,16
161,20
162,9
163,5
164,9
165,2
166,11
167,14
168,1
169,15
170,5
171,5
172,15
173,8
174,17
175,4
176,12
177,8
178,6
179,20
180,17
181,13
182,12
183,18
184,9
185,16
186,8
187,15
188,2
189,19
190,16
191,10
192,18
193,16
194,14
195,19
196,9
197,4
198,12
199,9
200,10
201,17
202,5
203,4
204,4
205,14
206,19
207,7
208,1
209,5
210,19
211,9
212,9
213,10
214,18
215,18
216,17
217,5
218,4
219,11
220,4
221,11
222,20
223,13
224,6
225,5
226,11
227,6
228,20
229,15
230,7
231,10
232,3
233,3
234,5
235,18
236,8
237,16
238,5
239,9
240,12
241,3
242,9
243,20
244,4
245,7
246,9
247,1
248,3
249,12
250,11
251,6
252,2
253,2
254,11
255,19
256,6
257,1
258,17
259,5
260,7
261,3
262,6
263,9
264,17
265,3
266,19
267,5
268,18
269,3
270,5
271,1
272,17
273,13
274,20
275,20
276,11
277,9
278,12
279,14
280,12
281,2
282,11
283,14
284,15
285,1
286,4
287,20
288,2
289,20
290,17
291,20
292,14
293,14
294,9
295,11
296,16
297,7
298,7
299,5
300,1
301,11
302,5
303,17
304,3
305,17
306,8
307,6
308,17
309,20
310,19
311,8
312,13
313,9
314,13
